,City,date,temperature
83,Auckland,1989-05-26,16.3
84,Auckland,1962-06-08,18.5
85,Auckland,1973-12-27,18.8
86,Auckland,1978-01-08,17.6
87,Auckland,1968-06-30,16.7
88,Auckland,1989-07-12,14.6
89,Auckland,1970-12-29,13.0
90,Auckland,1967-02-08,11.4
91,Auckland,1973-03-08,10.8
92,Auckland,1963-12-08,11.7
93,Auckland,1980-08-18,13.2
94,Auckland,1982-02-15,15.6
95,Auckland,1982-02-28,18.3
96,Auckland,1990-12-11,17.8
97,Auckland,1982-04-09,20.5
98,Auckland,1986-05-12,18.7
99,Auckland,1974-01-29,17.3
100,Auckland,1977-03-31,15.7
101,Auckland,1985-07-10,14.3
102,Auckland,1960-05-13,12.6
103,Auckland,1974-07-17,11.3
104,Auckland,1983-05-24,12.9
105,Auckland,1961-04-06,14.7
106,Auckland,1974-09-23,15.9
109,Auckland,1963-11-15,20.2
110,Auckland,1970-09-06,18.8
111,Auckland,1974-07-27,16.7
112,Auckland,1989-08-10,14.2
113,Auckland,1984-04-30,12.4
114,Auckland,1973-10-09,12.5
115,Auckland,1970-05-03,12.0
116,Auckland,1967-04-13,13.4
117,Auckland,1977-05-09,13.3
118,Auckland,1969-07-04,15.9
119,Auckland,1972-01-20,16.8
120,Auckland,1979-10-30,18.9
121,Auckland,1975-08-17,17.9
122,Auckland,1964-08-31,17.6
123,Auckland,1973-01-20,14.8
124,Auckland,1969-07-16,13.9
125,Auckland,1985-11-22,12.3
126,Auckland,1972-03-11,11.5
127,Auckland,1980-10-10,10.5
128,Auckland,1962-04-18,11.1
129,Auckland,1962-12-20,12.9
130,Auckland,1979-11-13,13.0
131,Auckland,1967-04-07,15.4
132,Auckland,1977-04-18,19.6
133,Auckland,1978-01-31,20.0
134,Auckland,1990-09-22,17.8
135,Auckland,1981-02-01,17.3
136,Auckland,1964-12-24,14.4
137,Auckland,1977-03-04,12.8
138,Auckland,1969-05-30,13.0
139,Auckland,1983-09-06,10.4
140,Auckland,1966-06-30,13.3
141,Auckland,1987-05-30,14.6
142,Auckland,1964-04-01,16.6
143,Auckland,1979-10-26,19.1
144,Auckland,1967-03-24,19.4
145,Auckland,1964-01-26,19.8
146,Auckland,1961-09-27,18.5
147,Auckland,1966-11-26,16.5
148,Auckland,1985-11-11,13.8
149,Auckland,1990-04-29,12.1
150,Auckland,1988-11-03,11.3
151,Auckland,1989-09-16,11.2
152,Auckland,1968-01-10,12.3
153,Auckland,1981-07-12,12.8
154,Auckland,1985-08-24,15.3
155,Auckland,1962-11-12,16.6
156,Auckland,1979-08-13,19.1
157,Auckland,1966-08-26,20.5
158,Auckland,1968-07-07,19.0
159,Auckland,1980-02-17,16.4
160,Auckland,1970-10-15,14.3
161,Auckland,1965-10-02,12.1
162,Auckland,1984-02-17,12.5
163,Auckland,1973-08-16,12.6
164,Auckland,1973-08-05,13.8
165,Auckland,1975-06-01,15.2
166,Auckland,1978-05-20,17.4
167,Auckland,1982-08-14,19.0
168,Auckland,1980-11-02,20.3
169,Auckland,1989-07-06,19.4
170,Auckland,1980-07-14,18.1
171,Auckland,1979-06-14,17.1
172,Auckland,1971-03-14,14.2
173,Auckland,1969-11-02,11.6
174,Auckland,1966-07-06,12.6
175,Auckland,1982-02-22,11.6
176,Auckland,1965-12-03,13.1
177,Auckland,1971-05-08,14.0
178,Auckland,1985-06-13,14.1
179,Auckland,1967-09-10,17.2
180,Auckland,1981-12-21,17.6
181,Auckland,1974-09-30,17.2
182,Auckland,1971-08-12,17.4
183,Auckland,1986-08-08,15.7
184,Auckland,1969-04-23,13.8
185,Auckland,1987-05-23,12.2
186,Auckland,1980-12-04,12.0
187,Auckland,1969-02-27,11.1
188,Auckland,1984-05-03,12.1
189,Auckland,1986-06-02,13.0
190,Auckland,1975-11-21,14.7
191,Auckland,1988-09-13,16.0
192,Auckland,1988-08-07,18.2
193,Auckland,1982-01-12,18.4
194,Auckland,1988-05-13,17.4
195,Auckland,1966-08-18,16.2
196,Auckland,1981-08-26,13.7
197,Auckland,1965-01-05,12.7
198,Auckland,1967-01-23,10.8
199,Auckland,1966-10-14,11.6
200,Auckland,1960-04-06,12.1
201,Auckland,1969-06-24,13.3
202,Auckland,1984-04-12,15.2
203,Auckland,1978-08-29,17.2
204,Auckland,1967-03-28,18.5
205,Auckland,1971-06-04,18.8
206,Auckland,1983-10-26,18.0
207,Auckland,1965-05-29,15.6
208,Auckland,1983-03-26,14.3
209,Auckland,1990-12-04,13.4
210,Auckland,1980-10-05,11.8
211,Auckland,1980-09-11,11.6
212,Auckland,1977-02-11,12.3
213,Auckland,1971-04-18,13.9
214,Auckland,1968-10-03,16.2
215,Auckland,1975-03-12,15.1
216,Auckland,1971-05-03,17.2
217,Auckland,1964-01-31,17.8
218,Auckland,1966-03-17,17.4
219,Auckland,1962-10-24,15.4
220,Auckland,1967-02-01,14.6
221,Auckland,1973-08-09,12.7
222,Auckland,1962-03-21,12.3
223,Auckland,1969-03-26,11.4
224,Auckland,1967-01-17,11.7
226,Auckland,1973-07-07,14.8
227,Auckland,1960-04-24,16.3
228,Auckland,1985-04-13,19.2
229,Auckland,1970-11-07,20.0
230,Auckland,1969-11-18,17.9
231,Auckland,1978-02-10,16.7
232,Auckland,1984-11-23,15.2
233,Auckland,1970-06-20,12.9
234,Auckland,1974-12-10,12.2
235,Auckland,1983-06-18,11.1
236,Auckland,1975-09-27,12.6
237,Auckland,1989-10-28,13.0
238,Auckland,1988-05-05,15.6
239,Auckland,1984-05-09,18.7
240,Auckland,1970-03-08,17.9
241,Auckland,1978-10-31,18.2
242,Auckland,1985-07-09,18.3
243,Auckland,1979-02-16,15.6
244,Auckland,1965-07-16,14.6
245,Auckland,1987-11-25,13.0
246,Auckland,1975-04-28,11.5
247,Auckland,1971-01-19,11.9
248,Auckland,1982-12-05,12.3
249,Auckland,1972-05-26,13.5
250,Auckland,1976-06-19,15.2
251,Auckland,1965-01-26,17.7
252,Auckland,1961-02-04,19.1
253,Auckland,1981-05-01,19.1
254,Auckland,1960-04-03,18.5
255,Auckland,1966-08-31,16.1
256,Auckland,1975-12-25,14.3
257,Auckland,1965-08-28,12.3
258,Auckland,1972-09-13,11.2
259,Auckland,1988-12-24,12.1
260,Auckland,1989-06-24,12.7
261,Auckland,1980-08-19,12.8
262,Auckland,1982-03-12,15.0
263,Auckland,1988-03-14,16.6
264,Auckland,1970-04-24,18.1
265,Auckland,1985-12-28,19.4
266,Auckland,1973-01-17,18.0
267,Auckland,1983-10-12,17.4
268,Auckland,1983-10-27,14.6
269,Auckland,1978-09-01,12.9
270,Auckland,1983-09-11,12.4
271,Auckland,1968-11-27,11.3
272,Auckland,1967-08-21,11.5
273,Auckland,1972-03-24,13.2
274,Auckland,1982-01-27,14.3
275,Auckland,1988-03-13,17.6
276,Auckland,1976-03-31,18.5
277,Auckland,1984-12-27,19.0
278,Auckland,1989-06-15,18.6
279,Auckland,1964-12-22,16.6
280,Auckland,1971-07-03,14.6
281,Auckland,1975-12-27,12.8
282,Auckland,1968-11-18,12.2
283,Auckland,1971-09-17,11.8
284,Auckland,1972-02-04,12.5
285,Auckland,1966-10-31,14.7
286,Auckland,1976-09-19,16.0
287,Auckland,1984-02-03,16.5
288,Auckland,1987-06-06,18.1
289,Auckland,1968-07-04,18.6
290,Auckland,1982-02-23,18.3
291,Auckland,1989-04-26,15.5
292,Auckland,1974-07-12,13.7
293,Auckland,1973-07-03,12.3
294,Auckland,1962-01-14,10.9
295,Auckland,1969-11-05,11.7
296,Auckland,1978-06-05,11.9
297,Auckland,1984-04-11,13.7
298,Auckland,1984-07-27,15.4
299,Auckland,1965-06-19,16.6
300,Auckland,1962-04-07,16.9
301,Auckland,1967-06-11,17.3
302,Auckland,1960-11-24,17.8
303,Auckland,1982-12-08,16.8
304,Auckland,1971-07-23,13.4
305,Auckland,1985-03-23,13.0
306,Auckland,1966-10-26,11.4
307,Auckland,1964-01-01,10.9
308,Auckland,1965-10-12,13.4
309,Auckland,1968-04-19,13.5
310,Auckland,1975-12-02,15.7
311,Auckland,1968-01-04,18.2
312,Auckland,1971-09-20,17.9
313,Auckland,1970-11-16,17.4
314,Auckland,1968-03-26,18.1
315,Auckland,1969-09-30,15.0
316,Auckland,1989-03-21,14.9
317,Auckland,1989-04-22,12.4
318,Auckland,1975-11-12,11.4
319,Auckland,1989-12-20,11.3
320,Auckland,1989-04-11,13.3
321,Auckland,1983-05-17,13.4
322,Auckland,1961-01-05,15.9
323,Auckland,1976-02-03,17.1
324,Auckland,1988-05-07,18.4
325,Auckland,1966-09-11,19.7
326,Auckland,1967-09-20,18.8
327,Auckland,1982-06-05,17.0
328,Auckland,1988-08-01,15.0
329,Auckland,1989-12-04,12.3
330,Auckland,1966-04-01,11.9
331,Auckland,1989-01-09,11.7
332,Auckland,1990-11-17,13.2
333,Auckland,1982-03-26,13.5
334,Auckland,1973-03-28,15.7
335,Auckland,1965-12-12,16.6
336,Auckland,1969-05-12,17.1
337,Auckland,1967-03-22,19.2
338,Auckland,1967-07-22,18.4
339,Auckland,1990-11-26,16.9
340,Auckland,1988-04-25,14.5
341,Auckland,1989-06-07,13.2
342,Auckland,1965-07-12,12.1
343,Auckland,1964-01-26,12.0
344,Auckland,1990-07-16,12.6
345,Auckland,1961-09-01,13.6
346,Auckland,1986-11-29,15.5
347,Auckland,1973-11-20,16.3
348,Auckland,1985-09-24,17.8
349,Auckland,1972-02-29,17.8
350,Auckland,1990-10-06,18.8
351,Auckland,1968-11-29,16.9
352,Auckland,1980-02-07,13.9
353,Auckland,1970-03-21,13.2
354,Auckland,1961-02-24,11.8
356,Auckland,1982-06-11,13.0
357,Auckland,1964-06-03,12.9
358,Auckland,1974-09-16,14.4
359,Auckland,1962-01-05,17.3
360,Auckland,1978-05-21,19.2
361,Auckland,1987-04-09,19.8
362,Auckland,1977-08-10,18.9
363,Auckland,1966-06-15,15.4
364,Auckland,1969-05-13,14.2
365,Auckland,1973-06-02,12.6
366,Auckland,1989-07-06,11.8
367,Auckland,1988-02-02,11.3
368,Auckland,1971-09-02,11.9
369,Auckland,1983-11-30,12.8
370,Auckland,1968-02-23,14.1
371,Auckland,1965-12-15,15.7
372,Auckland,1986-06-11,15.8
373,Auckland,1979-09-21,16.8
374,Auckland,1984-09-02,16.8
375,Auckland,1960-02-18,15.0
376,Auckland,1968-01-28,12.8
377,Auckland,1961-10-02,12.4
378,Auckland,1987-05-17,11.6
379,Auckland,1969-08-18,12.1
380,Auckland,1988-08-06,12.3
381,Auckland,1964-06-17,13.1
382,Auckland,1964-05-01,13.9
383,Auckland,1983-09-04,15.9
384,Auckland,1990-03-30,16.9
385,Auckland,1970-10-13,18.2
386,Auckland,1974-09-26,17.4
387,Auckland,1984-09-18,15.2
388,Auckland,1975-07-31,13.7
389,Auckland,1972-07-17,12.9
390,Auckland,1960-08-14,12.1
391,Auckland,1976-07-18,11.3
392,Auckland,1966-08-18,12.1
393,Auckland,1988-08-07,12.8
394,Auckland,1961-11-03,14.5
395,Auckland,1986-09-18,16.3
396,Auckland,1978-04-17,18.4
397,Auckland,1976-09-14,19.5
398,Auckland,1988-08-04,18.2
399,Auckland,1990-11-07,16.7
400,Auckland,1964-09-14,14.0
401,Auckland,1973-04-30,11.7
402,Auckland,1968-10-07,10.8
403,Auckland,1986-12-10,11.4
404,Auckland,1989-04-21,11.8
405,Auckland,1980-02-17,13.1
406,Auckland,1977-04-20,15.2
407,Auckland,1962-09-01,16.2
408,Auckland,1977-03-02,19.8
409,Auckland,1982-04-23,19.6
410,Auckland,1969-01-14,19.0
411,Auckland,1974-08-17,16.9
412,Auckland,1985-04-09,14.1
413,Auckland,1985-08-09,13.0
414,Auckland,1962-03-07,11.8
415,Auckland,1987-09-11,10.5
416,Auckland,1964-12-17,11.9
417,Auckland,1972-04-09,13.0
418,Auckland,1977-03-15,14.1
419,Auckland,1960-11-30,15.8
420,Auckland,1962-12-05,17.4
421,Auckland,1972-12-25,17.0
422,Auckland,1978-10-19,17.2
423,Auckland,1966-01-25,14.9
424,Auckland,1981-12-20,13.9
425,Auckland,1962-04-13,12.1
426,Auckland,1978-08-24,11.8
427,Auckland,1989-05-07,12.2
428,Auckland,1981-08-19,12.0
429,Auckland,1983-10-29,13.0
430,Auckland,1964-11-11,13.5
431,Auckland,1977-01-16,14.6
432,Auckland,1964-08-25,18.5
433,Auckland,1975-04-18,18.7
434,Auckland,1976-06-03,17.6
435,Auckland,1981-12-20,15.8
436,Auckland,1974-01-13,14.2
437,Auckland,1969-07-26,12.6
438,Auckland,1964-01-08,11.7
439,Auckland,1990-06-06,11.6
440,Auckland,1966-11-24,13.3
441,Auckland,1984-11-10,13.8
442,Auckland,1963-08-31,14.9
443,Auckland,1986-05-13,17.1
444,Auckland,1967-06-10,16.9
445,Auckland,1980-07-19,18.9
446,Auckland,1964-12-07,17.8
447,Auckland,1964-05-10,16.7
448,Auckland,1987-02-10,14.0
449,Auckland,1989-02-03,13.2
450,Auckland,1978-08-23,12.1
451,Auckland,1988-11-09,11.8
452,Auckland,1968-02-21,12.8
453,Auckland,1988-03-16,14.3
454,Auckland,1977-11-27,14.6
455,Auckland,1962-07-07,17.1
456,Auckland,1985-01-26,17.6
457,Auckland,1965-01-29,18.6
458,Auckland,1975-08-09,17.6
459,Auckland,1981-03-31,15.5
460,Auckland,1963-05-01,13.5
461,Auckland,1964-03-08,10.9
462,Auckland,1971-05-05,11.1
463,Auckland,1965-04-22,11.7
465,Auckland,1968-11-18,13.6
466,Auckland,1975-10-30,15.1
467,Auckland,1979-01-10,18.0
468,Auckland,1982-07-13,18.0
469,Auckland,1981-07-16,18.5
470,Auckland,1970-11-30,18.8
471,Auckland,1987-07-27,16.7
472,Auckland,1976-02-19,14.1
473,Auckland,1971-02-26,12.6
474,Auckland,1983-01-25,11.5
475,Auckland,1976-01-27,12.4
476,Auckland,1965-06-25,12.5
477,Auckland,1988-06-26,13.7
478,Auckland,1988-03-03,16.4
479,Auckland,1980-06-06,16.3
480,Auckland,1982-11-27,18.2
481,Auckland,1960-11-11,18.7
482,Auckland,1989-06-03,16.5
483,Auckland,1983-12-22,16.5
484,Auckland,1976-11-12,15.3
485,Auckland,1985-06-19,12.7
486,Auckland,1989-03-19,12.2
487,Auckland,1978-05-22,12.9
488,Auckland,1967-04-24,13.2
489,Auckland,1969-02-16,14.6
490,Auckland,1966-06-27,17.0
491,Auckland,1966-07-23,16.6
492,Auckland,1966-09-24,19.2
493,Auckland,1984-10-17,19.1
494,Auckland,1960-06-13,17.8
495,Auckland,1983-11-16,15.4
496,Auckland,1987-08-23,14.0
497,Auckland,1983-09-04,12.7
498,Auckland,1965-10-29,11.6
499,Auckland,1970-01-21,11.3
500,Auckland,1980-01-21,12.0
501,Auckland,1989-12-13,13.6
502,Auckland,1962-02-01,15.2
503,Auckland,1970-01-11,18.0
504,Auckland,1985-01-10,19.1
505,Auckland,1990-02-05,19.0
506,Auckland,1977-09-03,17.8
507,Auckland,1969-07-13,15.3
508,Auckland,1963-12-21,14.1
509,Auckland,1971-09-17,12.4
510,Auckland,1971-04-24,9.9
511,Auckland,1981-04-01,10.6
512,Auckland,1982-06-01,12.6
513,Auckland,1961-07-26,13.5
514,Auckland,1989-04-21,14.3
515,Auckland,1988-05-28,17.6
516,Auckland,1965-09-13,18.5
517,Auckland,1968-04-13,18.4
518,Auckland,1974-07-18,18.6
519,Auckland,1965-06-23,16.4
520,Auckland,1978-03-31,14.2
521,Auckland,1960-06-20,13.1
522,Auckland,1979-02-03,11.9
523,Auckland,1967-01-17,11.1
524,Auckland,1962-02-19,13.0
525,Auckland,1976-02-13,12.7
527,Auckland,1962-09-28,18.0
528,Auckland,1989-04-24,18.5
529,Auckland,1972-02-23,19.7
530,Auckland,1972-05-27,18.1
531,Auckland,1960-08-11,16.0
532,Auckland,1962-04-04,14.5
533,Auckland,1962-10-18,12.4
534,Auckland,1979-10-16,11.9
535,Auckland,1962-08-29,11.5
536,Auckland,1974-12-15,12.6
537,Auckland,1984-12-30,13.1
538,Auckland,1984-09-02,14.9
539,Auckland,1965-07-19,16.3
540,Auckland,1965-01-07,17.9
541,Auckland,1987-11-19,17.2
542,Auckland,1982-02-02,17.0
543,Auckland,1970-04-10,16.2
544,Auckland,1968-06-09,14.4
545,Auckland,1964-02-05,12.6
546,Auckland,1967-05-05,12.0
547,Auckland,1970-03-23,11.6
548,Auckland,1962-11-25,12.4
549,Auckland,1973-10-26,13.2
550,Auckland,1960-12-19,15.5
551,Auckland,1970-05-18,17.4
552,Auckland,1969-10-10,18.3
553,Auckland,1970-12-07,18.6
554,Auckland,1987-04-19,18.0
555,Auckland,1966-11-01,17.0
556,Auckland,1960-06-05,13.4
557,Auckland,1982-10-19,12.6
558,Auckland,1963-01-05,10.4
559,Auckland,1968-05-20,11.3
560,Auckland,1988-06-01,12.6
561,Auckland,1981-03-23,13.4
562,Auckland,1985-06-22,14.9
563,Auckland,1976-04-25,16.7
564,Auckland,1961-09-08,17.5
565,Auckland,1960-11-13,18.3
566,Auckland,1989-11-15,18.7
567,Auckland,1966-07-17,17.7
568,Auckland,1981-09-29,14.4
569,Auckland,1989-10-27,12.6
570,Auckland,1968-02-14,11.8
571,Auckland,1970-05-04,12.6
572,Auckland,1990-08-23,12.4
573,Auckland,1967-04-15,14.1
574,Auckland,1988-05-17,14.8
575,Auckland,1963-08-18,16.0
576,Auckland,1984-04-18,17.4
577,Auckland,1987-09-02,17.8
578,Auckland,1963-01-05,17.3
579,Auckland,1984-09-13,16.2
580,Auckland,1968-12-14,13.7
581,Auckland,1966-10-17,13.6
582,Auckland,1974-07-05,11.2
583,Auckland,1978-02-12,11.5
584,Auckland,1967-03-09,13.1
585,Auckland,1962-10-11,13.6
586,Auckland,1964-07-30,14.4
587,Auckland,1960-12-28,16.0
588,Auckland,1982-03-24,17.6
589,Auckland,1977-08-09,18.5
590,Auckland,1978-09-24,18.3
591,Auckland,1969-05-01,15.9
592,Auckland,1979-12-24,13.3
593,Auckland,1970-10-15,12.5
594,Auckland,1989-07-03,10.7
595,Auckland,1967-06-11,10.8
596,Auckland,1986-06-29,10.8
597,Auckland,1983-08-09,12.2
598,Auckland,1969-08-30,14.2
599,Auckland,1981-11-20,15.4
600,Auckland,1969-06-02,16.6
601,Auckland,1977-12-01,18.2
602,Auckland,1983-01-09,17.5
603,Auckland,1988-06-21,15.2
604,Auckland,1984-04-17,13.9
605,Auckland,1965-07-28,12.1
606,Auckland,1988-04-12,11.7
607,Auckland,1975-12-28,11.2
608,Auckland,1977-07-09,12.3
609,Auckland,1968-02-17,14.9
610,Auckland,1979-08-18,16.2
611,Auckland,1978-09-28,17.9
612,Auckland,1963-05-05,17.9
613,Auckland,1980-08-17,18.1
614,Auckland,1969-07-09,17.6
615,Auckland,1984-11-12,15.6
616,Auckland,1983-05-24,13.7
617,Auckland,1983-03-30,12.1
618,Auckland,1976-01-31,11.6
619,Auckland,1982-06-08,11.4
620,Auckland,1963-02-05,12.1
621,Auckland,1973-02-12,12.8
622,Auckland,1988-04-10,14.2
623,Auckland,1982-01-06,15.0
624,Auckland,1962-06-28,16.4
625,Auckland,1983-11-11,18.2
626,Auckland,1966-10-20,17.9
627,Auckland,1968-10-05,16.1
628,Auckland,1983-03-24,15.0
629,Auckland,1987-01-28,12.5
630,Auckland,1974-10-09,11.3
631,Auckland,1975-04-05,11.4
632,Auckland,1979-07-08,12.4
633,Auckland,1967-11-11,12.8
634,Auckland,1979-02-23,15.1
635,Auckland,1974-06-26,16.3
636,Auckland,1979-04-10,16.8
637,Auckland,1979-02-28,17.2
638,Auckland,1972-12-03,16.8
640,Auckland,1981-08-30,13.7
641,Auckland,1972-03-13,12.0
642,Auckland,1965-12-17,12.0
643,Auckland,1978-11-26,11.6
644,Auckland,1973-09-11,12.0
645,Auckland,1973-07-09,13.6
646,Auckland,1982-03-19,14.6
647,Auckland,1979-03-06,16.8
648,Auckland,1989-10-23,18.4
649,Auckland,1990-10-26,18.4
650,Auckland,1970-07-02,18.6
651,Auckland,1989-11-20,17.1
652,Auckland,1985-10-05,13.8
653,Auckland,1967-09-20,12.2
654,Auckland,1978-08-18,11.6
655,Auckland,1978-05-11,12.0
656,Auckland,1960-05-09,12.3
657,Auckland,1962-02-21,13.4
658,Auckland,1965-09-19,16.1
659,Auckland,1986-03-28,18.4
660,Auckland,1980-10-09,18.7
661,Auckland,1981-02-16,18.7
662,Auckland,1976-01-21,18.3
663,Auckland,1966-06-27,16.1
664,Auckland,1979-01-13,14.7
665,Auckland,1964-08-12,12.5
666,Auckland,1973-08-09,11.0
667,Auckland,1982-03-09,11.1
668,Auckland,1985-10-07,12.6
669,Auckland,1965-06-13,12.9
670,Auckland,1967-03-26,15.0
671,Auckland,1989-04-01,16.0
672,Auckland,1988-11-04,17.3
673,Auckland,1975-05-24,18.5
674,Auckland,1977-03-01,18.5
675,Auckland,1969-09-11,16.0
676,Auckland,1987-06-12,14.9
677,Auckland,1963-09-07,13.7
678,Auckland,1984-06-01,12.8
679,Auckland,1985-07-29,12.2
680,Auckland,1964-07-29,13.0
681,Auckland,1970-08-05,13.5
682,Auckland,1969-09-21,15.9
683,Auckland,1983-11-20,18.0
684,Auckland,1983-11-15,19.4
685,Auckland,1974-07-27,20.3
686,Auckland,1975-11-19,19.0
688,Auckland,1965-03-01,14.7
689,Auckland,1983-05-08,13.1
690,Auckland,1985-08-06,12.0
691,Auckland,1988-09-06,12.2
692,Auckland,1989-03-21,12.7
693,Auckland,1983-12-02,14.1
694,Auckland,1960-11-13,16.0
695,Auckland,1975-06-06,16.7
696,Auckland,1986-07-23,17.8
697,Auckland,1987-11-22,18.0
698,Auckland,1978-11-19,18.9
699,Auckland,1981-11-18,18.1
700,Auckland,1988-07-29,14.8
701,Auckland,1983-01-24,12.7
702,Auckland,1977-01-15,11.7
703,Auckland,1969-10-25,12.0
704,Auckland,1974-05-18,12.5
705,Auckland,1985-08-21,13.0
706,Auckland,1981-12-29,14.8
707,Auckland,1968-09-22,15.6
708,Auckland,1988-05-15,17.4
709,Auckland,1971-07-26,17.7
710,Auckland,1989-04-25,17.0
711,Auckland,1974-11-21,16.0
712,Auckland,1990-02-13,13.3
713,Auckland,1976-07-13,12.3
714,Auckland,1968-07-27,11.4
715,Auckland,1977-10-16,10.9
716,Auckland,1962-12-15,12.9
717,Auckland,1973-10-09,13.4
718,Auckland,1968-02-07,14.8
719,Auckland,1969-10-14,16.6
720,Auckland,1988-06-15,18.6
721,Auckland,1966-05-11,18.8
722,Auckland,1963-12-25,19.0
723,Auckland,1976-12-02,15.4
724,Auckland,1985-11-30,12.5
725,Auckland,1966-08-30,11.8
726,Auckland,1964-02-24,12.2
727,Auckland,1986-09-20,12.3
728,Auckland,1979-02-10,12.9
729,Auckland,1969-03-28,14.1
730,Auckland,1980-03-29,15.3
731,Auckland,1975-07-30,15.6
732,Auckland,1979-05-24,19.6
733,Auckland,1978-09-25,19.1
734,Auckland,1961-06-26,18.5
735,Auckland,1985-12-14,16.4
736,Auckland,1972-03-31,13.5
737,Auckland,1986-05-10,12.0
738,Auckland,1964-08-02,11.4
739,Auckland,1974-09-27,11.4
741,Auckland,1972-07-25,13.3
742,Auckland,1970-05-17,14.8
743,Auckland,1960-03-19,15.9
744,Auckland,1978-04-12,19.0
745,Auckland,1977-03-09,18.9
746,Auckland,1987-02-15,17.2
747,Auckland,1984-01-09,15.6
748,Auckland,1989-10-18,14.0
749,Auckland,1969-05-19,12.8
750,Auckland,1978-06-12,12.4
751,Auckland,1980-04-10,12.0
752,Auckland,1964-06-13,14.0
753,Auckland,1977-06-27,14.6
754,Auckland,1984-07-29,15.2
755,Auckland,1973-12-03,17.0
756,Auckland,1969-07-26,18.2
757,Auckland,1968-04-16,20.3
758,Auckland,1964-10-03,19.7
759,Auckland,1990-03-31,16.6
761,Auckland,1978-03-26,13.8
762,Auckland,1973-05-22,12.6
763,Auckland,1961-11-26,12.0
764,Auckland,1986-04-26,12.9
765,Auckland,1986-01-15,13.9
766,Auckland,1979-10-30,15.8
767,Auckland,1960-07-19,17.8
768,Auckland,1990-10-22,18.8
769,Auckland,1973-10-17,18.3
770,Auckland,1990-03-28,17.6
771,Auckland,1975-07-21,16.8
772,Auckland,1979-12-25,14.9
773,Auckland,1972-08-30,12.9
774,Auckland,1975-10-08,12.6
775,Auckland,1968-10-06,11.7
776,Auckland,1990-08-18,13.0
777,Auckland,1960-10-15,14.2
778,Auckland,1971-01-14,15.5
779,Auckland,1975-10-09,16.6
780,Auckland,1987-08-03,18.5
781,Auckland,1968-12-27,19.0
782,Auckland,1986-10-19,17.9
783,Auckland,1985-04-24,16.7
784,Auckland,1982-03-07,14.4
785,Auckland,1961-11-23,12.9
786,Auckland,1960-04-24,10.7
787,Auckland,1961-06-14,11.5
