,cmd_city,cmd_month,cmd_day,cmd_mean,cmd_max,cmd_min,mean,max,min,diff_mean,diff_max,diff_min
22,Brasília,2,23,22.240000000000002,22.8,21.6,20.839634146341464,24.2,-2.8,1.4003658536585384,-1.3999999999999986,24.400000000000002
23,Brasília,9,13,22.65,23.7,21.6,20.605263157894743,25.2,-2.8,2.044736842105255,-1.5,24.400000000000002
24,Brasília,9,24,21.1,23.8,19.0,20.605263157894743,25.2,-2.8,0.49473684210525803,-1.3999999999999986,21.8
25,Brasília,10,27,21.666666666666668,23.2,20.1,20.99354838709677,24.0,-2.8,0.6731182795698984,-0.8000000000000007,22.900000000000002
26,Canoas,6,24,18.325,19.8,16.0,16.87528735632185,24.8,-2.8,1.4497126436781507,-5.0,18.8
27,Canoas,7,23,18.314285714285713,23.9,12.3,17.534972677595636,25.0,-2.8,0.7793130366900769,-1.1000000000000014,15.100000000000001
28,Canoas,8,15,21.18,23.3,17.9,17.053367875647666,25.5,-2.8,4.126632124352334,-2.1999999999999993,20.7
29,Cape Town,5,19,15.375,18.9,13.2,15.458000000000002,21.5,-2.8,-0.08300000000000196,-2.6000000000000014,16.0
30,Cape Town,7,5,15.366666666666667,18.3,12.4,16.002666666666666,21.0,10.4,-0.6359999999999992,-2.6999999999999993,2.0
31,Cape Town,9,8,14.98,20.4,12.5,15.855862068965516,22.1,-2.8,-0.8758620689655157,-1.7000000000000028,15.3
32,Hamilton,2,23,13.514285714285714,9.3,12.0,13.71337579617833,9.9,10.0,-0.19909008189261534,-0.5999999999999996,2.0
33,Hamilton,7,13,15.775000000000002,20.0,10.2,13.776027397260277,9.9,10.0,1.998972602739725,10.1,0.1999999999999993
34,Hamilton,8,19,13.400000000000002,9.4,10.0,13.578666666666669,9.9,10.0,-0.17866666666666653,-0.5,0.0
35,Hamilton,10,22,12.9,19.4,10.1,13.93949044585987,9.9,10.0,-1.0394904458598688,9.499999999999998,0.09999999999999964
36,Hamilton,12,13,15.48,18.1,12.2,14.20736842105263,9.9,10.0,1.2726315789473706,8.200000000000001,2.1999999999999993
37,Johannesburg,2,7,19.3,19.3,19.3,14.737654320987666,9.9,10.0,4.562345679012335,9.4,9.3
38,Johannesburg,5,20,14.075,17.0,11.6,15.110967741935486,9.6,-2.8,-1.0359677419354867,7.4,14.399999999999999
39,Johannesburg,11,25,11.649999999999999,8.6,14.7,14.938181818181823,9.7,10.0,-3.2881818181818243,-1.0999999999999996,4.699999999999999
40,Kherson,7,30,7.733333333333335,9.3,-4.1,7.822265625,9.9,-0.1,-0.08893229166666483,-0.5999999999999996,-3.9999999999999996
41,Kherson,9,14,5.181818181818181,6.5,-1.0,8.23309608540925,9.8,-0.2,-3.0512779035910684,-3.3000000000000007,-0.8
42,Kherson,11,1,8.541666666666666,8.8,-4.5,9.157195571955725,9.9,-0.2,-0.6155289052890591,-1.0999999999999996,-4.3
43,Kiev,8,20,7.381818181818181,5.4,-0.4,7.458718861209961,9.9,-0.1,-0.07690067939178036,-4.5,-0.30000000000000004
44,Kiev,10,5,3.50625,7.6,-11.3,8.109689922480623,9.5,-0.2,-4.603439922480623,-1.9000000000000004,-11.100000000000001
45,Lvov,9,4,3.8124999999999996,7.5,-2.8,6.253846153846153,9.4,-0.0,-2.4413461538461534,-1.9000000000000004,-2.8
46,Marseille,1,10,17.383333333333333,9.2,11.7,14.912333333333336,9.9,-2.8,2.4709999999999965,-0.7000000000000011,14.5
47,Marseille,4,2,16.6375,23.1,10.6,14.900401606425707,9.9,-2.8,1.7370983935742927,13.200000000000001,13.399999999999999
48,Marseille,8,17,14.357142857142858,9.5,10.1,14.411940298507472,9.9,-2.8,-0.05479744136461484,-0.40000000000000036,12.899999999999999
49,Odesa,1,20,13.65,21.8,1.3,10.262962962962957,9.8,-0.1,3.387037037037043,12.0,1.4000000000000001
50,Odesa,1,23,9.327272727272726,3.7,-2.8,10.262962962962957,9.8,-0.1,-0.935690235690231,-6.1000000000000005,-2.6999999999999997
51,Odesa,2,9,12.200000000000001,9.7,-4.5,10.500000000000002,9.9,-0.3,1.6999999999999993,-0.20000000000000107,-4.2
52,Odesa,12,7,11.500000000000002,7.4,-0.1,10.56457564575645,9.9,-0.1,0.9354243542435512,-2.5,0.0
53,Paris,4,28,10.933333333333332,4.6,1.2,10.618631178707217,9.8,-0.9,0.31470215462611506,-5.200000000000001,2.1
54,Uppsala,5,31,6.149999999999999,6.3,-4.5,5.138188976377949,9.8,-0.2,1.0118110236220499,-3.500000000000001,-4.3
55,Warsaw,3,9,6.5,3.7,-3.3,6.977205882352944,9.9,-0.0,-0.47720588235294414,-6.2,-3.3
56,Warsaw,8,21,3.2375,5.9,-2.8,7.398275862068967,9.8,-0.1,-4.160775862068967,-3.9000000000000004,-2.6999999999999997
57,Wroclaw,6,17,6.066666666666666,9.9,-2.1,6.942700729927009,9.9,-0.1,-0.8760340632603425,0.0,-2.0
58,Auckland,10,2,9.9,17.9,-2.8,15.475352112676063,21.5,-2.8,-5.575352112676063,-3.6000000000000014,0.0
59,Canoas,12,15,17.025000000000002,24.3,-2.8,17.875916230366492,25.6,-2.8,-0.8509162303664901,-1.3000000000000007,0.0
60,Cape Town,6,8,14.575,19.2,11.5,16.01714285714286,21.0,11.4,-1.442142857142862,-1.8000000000000007,0.09999999999999964
61,Hamilton,5,26,14.612499999999999,8.2,12.1,13.61941176470588,9.9,10.1,0.9930882352941186,-1.700000000000001,2.0
62,Hamilton,7,15,16.15,17.1,13.7,13.776027397260277,9.9,10.0,2.3739726027397214,7.200000000000001,3.6999999999999993
63,Johannesburg,1,19,15.5,8.2,18.9,14.73051948051949,9.7,10.1,0.7694805194805099,-1.5,8.799999999999999
64,Johannesburg,4,1,13.666666666666666,19.3,10.8,14.767999999999997,9.7,-2.8,-1.101333333333331,9.600000000000001,13.600000000000001
65,Johannesburg,4,20,18.8,19.6,18.2,14.767999999999997,9.7,-2.8,4.032000000000004,9.900000000000002,21.0
66,Johannesburg,9,16,14.9,14.9,14.9,15.412413793103436,9.4,10.4,-0.5124137931034358,5.5,4.5
67,Johannesburg,10,13,17.96666666666667,20.7,16.4,15.16103896103896,9.8,-2.8,2.8056277056277086,10.899999999999999,19.2
68,Kherson,6,11,11.587499999999999,9.5,-0.4,7.87032520325203,9.9,-0.1,3.717174796747969,-0.40000000000000036,-0.30000000000000004
69,Kherson,8,30,8.533333333333333,21.6,-3.1,8.261071428571421,9.8,-0.1,0.2722619047619119,11.8,-3.0
70,Kiev,2,13,3.811111111111112,3.7,-0.2,6.933935018050539,9.4,-0.1,-3.122823906939427,-5.7,-0.1
71,Kiev,3,5,4.357142857142858,7.9,-1.4,6.406643356643358,9.5,-0.3,-2.0495004995005006,-1.5999999999999996,-1.0999999999999999
72,Kiev,7,19,17.666666666666668,20.5,14.0,6.455284552845526,9.9,-0.0,11.211382113821141,10.6,14.0
73,Lvov,1,19,11.05,9.1,-3.6,7.475502008032128,9.5,-0.2,3.5744979919678723,-0.40000000000000036,-3.4
74,Lvov,10,31,14.044444444444444,9.6,13.4,7.644747081712063,9.9,-0.4,6.399697362732382,-0.3000000000000007,13.8
75,Marseille,10,3,16.59,9.9,12.8,14.868525896414337,9.9,-2.8,1.7214741035856633,0.0,15.600000000000001
76,Odesa,1,21,8.38888888888889,7.8,-4.0,10.262962962962957,9.8,-0.1,-1.874074074074068,-2.000000000000001,-3.9
77,Odesa,4,11,6.775,9.8,-3.2,10.866544117647061,9.9,-0.1,-4.091544117647061,-0.09999999999999964,-3.1
78,Odesa,12,25,11.171428571428573,5.5,0.1,10.56457564575645,9.9,-0.1,0.606852925672122,-4.4,0.2
79,Paris,3,10,10.328571428571431,8.9,12.2,9.570758122743685,9.9,-0.1,0.7578133058277459,-1.0,12.299999999999999
80,Paris,7,20,11.422222222222224,7.4,1.4,9.645054945054943,9.8,-0.1,1.7771672771672815,-2.4000000000000004,1.5
81,Paris,11,22,11.0,9.5,10.5,10.086142322097373,9.8,-0.1,0.9138576779026266,-0.3000000000000007,10.6
82,Stockholm,2,27,6.7714285714285705,7.1,-0.6,6.47913385826772,9.5,-0.1,0.29229471316085043,-2.4000000000000004,-0.5
83,Stockholm,6,4,7.859999999999999,7.5,-2.6,6.631785714285718,9.7,-0.1,1.228214285714281,-2.1999999999999993,-2.5
84,Stockholm,12,4,4.314285714285715,8.3,-2.6,6.302996254681646,9.6,-0.1,-1.9887105403959309,-1.299999999999999,-2.5
85,Tokyo,1,21,10.500000000000002,7.6,10.5,13.663742690058477,9.9,-0.3,-3.1637426900584753,-2.3000000000000007,10.8
86,Tokyo,4,3,16.21428571428571,26.1,0.7,13.213690476190473,9.8,-0.4,3.0005952380952383,16.3,1.1
87,Tokyo,12,28,13.616666666666667,5.2,-0.5,12.445664739884393,9.9,-0.2,1.1710019267822744,-4.7,-0.3
88,Tottori,7,12,14.12,4.3,17.1,14.34,9.2,-2.8,-0.22000000000000064,-4.8999999999999995,19.900000000000002
89,Tottori,12,15,16.349999999999998,22.4,10.2,14.370760233918125,9.5,1.5,1.9792397660818732,12.899999999999999,8.7
90,Uppsala,1,28,3.920000000000001,9.4,-0.3,3.3141843971631215,9.9,-0.0,0.6058156028368793,-0.5,-0.3
91,Warsaw,11,19,7.859999999999999,9.3,-1.6,6.951282051282052,9.8,-0.1,0.9087179487179471,-0.5,-1.5
92,Warsaw,12,12,5.866666666666666,7.0,-2.1,6.319011406844112,9.6,-0.1,-0.45234474017744564,-2.5999999999999996,-2.0
93,Wroclaw,6,25,5.958333333333333,9.0,-1.9,6.942700729927009,9.9,-0.1,-0.9843673965936759,-0.9000000000000004,-1.7999999999999998
94,Wroclaw,7,6,6.670588235294118,6.9,-0.8,6.946792452830193,9.8,-0.1,-0.27620421753607527,-2.9000000000000004,-0.7000000000000001
95,Auckland,4,13,15.24,19.2,12.1,15.211801242236021,9.9,10.6,0.028198757763979287,9.299999999999999,1.5
96,Auckland,8,25,15.333333333333334,19.4,11.8,15.121249999999998,21.2,-2.8,0.21208333333333584,-1.8000000000000007,14.600000000000001
97,Auckland,10,16,14.42857142857143,18.4,10.9,15.475352112676063,21.5,-2.8,-1.0467806841046325,-3.1000000000000014,13.7
98,Brasília,1,20,22.225,22.9,21.7,20.264324324324317,24.4,-2.8,1.9606756756756845,-1.5,24.5
99,Canoas,5,23,18.32,24.2,12.9,17.315642458100548,24.7,-2.8,1.0043575418994521,-0.5,15.7
100,Canoas,6,11,15.820000000000002,22.7,-2.8,16.87528735632185,24.8,-2.8,-1.0552873563218466,-2.1000000000000014,0.0
101,Hamilton,2,3,14.828571428571426,19.1,11.5,13.71337579617833,9.9,10.0,1.115195632393096,9.200000000000001,1.5
102,Hamilton,3,28,14.775000000000002,9.6,10.6,13.682500000000005,9.9,10.1,1.0924999999999976,-0.3000000000000007,0.5
103,Hamilton,3,29,13.25,9.9,16.6,13.682500000000005,9.9,10.1,-0.43250000000000455,0.0,6.500000000000002
104,Hamilton,7,22,14.08333333333333,9.9,10.3,13.776027397260277,9.9,10.0,0.30730593607305323,0.0,0.3000000000000007
105,Kherson,2,3,14.277777777777779,9.2,1.4,8.518149466192167,9.8,-0.7,5.759628311585612,-0.6000000000000014,2.0999999999999996
106,Kherson,10,13,7.31,8.8,-1.3,8.739837398373986,9.9,-0.1,-1.4298373983739863,-1.0999999999999996,-1.2
107,Kiev,4,25,2.3857142857142857,8.4,-2.1,6.4632411067193685,9.5,-0.0,-4.077526821005083,-1.0999999999999996,-2.1
108,Kiev,10,8,10.200000000000001,7.8,-1.5,8.109689922480623,9.5,-0.2,2.090310077519378,-1.7000000000000002,-1.3
109,Kiev,11,14,3.3999999999999995,9.2,-0.2,6.582329317269079,9.8,-0.1,-3.1823293172690796,-0.6000000000000014,-0.1
110,Kiev,12,6,6.816666666666667,9.0,-2.8,5.73851851851852,9.9,-0.1,1.0781481481481476,-0.9000000000000004,-2.6999999999999997
111,Lvov,5,3,10.825000000000001,4.1,0.9,6.8081481481481445,9.8,-0.0,4.016851851851857,-5.700000000000001,0.9
112,Lvov,8,20,4.314285714285714,6.2,-3.0,6.577364864864873,9.9,-0.0,-2.263079150579159,-3.7,-3.0
113,Marseille,3,31,13.700000000000001,21.2,10.6,15.234982332155484,9.9,-2.8,-1.534982332155483,11.299999999999999,13.399999999999999
114,Marseille,6,12,14.819999999999999,7.8,10.8,14.824603174603174,9.9,-2.8,-0.00460317460317583,-2.1000000000000005,13.600000000000001
115,Odesa,1,17,11.085714285714287,3.2,-0.7,10.262962962962957,9.8,-0.1,0.8227513227513299,-6.6000000000000005,-0.6
116,Odesa,9,2,16.8,20.8,12.8,10.165289256198351,9.6,-0.0,6.63471074380165,11.200000000000001,12.8
117,Odesa,11,4,17.366666666666667,21.6,12.5,10.330364372469624,9.9,-0.3,7.036302294197043,11.700000000000001,12.8
118,Paris,1,8,12.271428571428572,7.5,10.9,10.225461254612537,9.8,-0.4,2.0459673168160357,-2.3000000000000007,11.3
119,Paris,1,29,10.194117647058823,7.0,-2.8,10.225461254612537,9.8,-0.4,-0.03134360755371368,-2.8000000000000007,-2.4
120,Paris,7,13,14.079999999999998,7.8,11.6,9.645054945054943,9.8,-0.1,4.4349450549450555,-2.000000000000001,11.7
121,Paris,7,24,10.74,8.5,-0.6,9.645054945054943,9.8,-0.1,1.0949450549450574,-1.3000000000000007,-0.5
122,Paris,11,9,9.523076923076925,9.2,-2.8,10.086142322097373,9.8,-0.1,-0.5630653990204486,-0.6000000000000014,-2.6999999999999997
123,Tokyo,2,28,13.799999999999999,7.5,15.1,11.921710526315794,9.7,-0.0,1.8782894736842053,-2.1999999999999993,15.1
124,Tottori,5,12,11.149999999999999,7.6,11.2,14.698787878787886,9.8,10.0,-3.5487878787878877,-2.200000000000001,1.1999999999999993
125,Tottori,5,29,18.15,3.1,16.3,14.698787878787886,9.8,10.0,3.4512121212121123,-6.700000000000001,6.300000000000001
126,Tottori,9,30,11.928571428571429,4.5,1.8,14.647999999999998,9.9,1.4,-2.719428571428569,-5.4,0.40000000000000013
127,Uppsala,7,16,3.8200000000000003,16.0,-0.8,4.692805755395685,9.9,-0.1,-0.8728057553956843,6.1,-0.7000000000000001
128,Warsaw,7,29,9.581818181818182,7.3,-3.4,7.063138686131386,9.8,-0.2,2.518679495686796,-2.500000000000001,-3.1999999999999997
129,Warsaw,9,19,11.475,2.2,-4.9,7.808750000000005,9.8,-0.0,3.6662499999999945,-7.6000000000000005,-4.9
130,Warsaw,12,19,2.4076923076923076,7.9,-0.1,6.319011406844112,9.6,-0.1,-3.9113190991518043,-1.6999999999999993,0.0
131,Wroclaw,3,23,8.041666666666666,9.0,-0.7,6.396309963099636,9.5,-0.0,1.64535670356703,-0.5,-0.7
132,Wroclaw,9,28,6.779999999999999,8.7,-0.4,7.644961240310081,9.9,-0.0,-0.8649612403100813,-1.200000000000001,-0.4
133,Wroclaw,11,17,8.4375,3.3,-0.2,6.827509293680292,9.8,-0.0,1.6099907063197083,-6.500000000000001,-0.2
134,Wroclaw,12,14,7.723529411764707,9.0,-1.6,7.116776315789475,9.8,-0.0,0.6067530959752316,-0.8000000000000007,-1.6
135,Auckland,9,17,12.725000000000001,13.6,11.8,15.431851851851853,20.5,10.4,-2.7068518518518516,-6.9,1.4000000000000004
136,Auckland,10,10,15.15,20.0,10.5,15.475352112676063,21.5,-2.8,-0.3253521126760628,-1.5,13.3
137,Brasília,7,17,21.322222222222223,22.8,19.3,20.842245989304814,25.2,-2.8,0.47997623291740865,-2.3999999999999986,22.1
138,Canoas,8,4,16.89090909090909,22.4,11.3,17.053367875647666,25.5,-2.8,-0.16245878473857545,-3.1000000000000014,14.100000000000001
139,Canoas,8,11,20.033333333333335,22.6,15.0,17.053367875647666,25.5,-2.8,2.979965457685669,-2.8999999999999986,17.8
140,Cape Town,4,5,15.040000000000001,17.9,13.2,16.27375,21.5,11.0,-1.2337499999999988,-3.6000000000000014,2.1999999999999993
141,Hamilton,2,7,16.18,19.7,12.0,13.71337579617833,9.9,10.0,2.46662420382167,9.799999999999999,2.0
142,Hamilton,7,2,14.385714285714284,19.6,10.5,13.776027397260277,9.9,10.0,0.6096868884540072,9.700000000000001,0.5
143,Hamilton,11,19,15.316666666666668,9.5,10.2,13.928846153846148,9.9,10.0,1.3878205128205199,-0.40000000000000036,0.1999999999999993
144,Johannesburg,8,27,15.285714285714283,8.0,12.7,14.980291970802922,9.8,10.1,0.30542231491136107,-1.8000000000000007,2.5999999999999996
145,Kherson,1,25,11.244444444444445,8.8,-4.7,8.999668874172185,9.9,-0.1,2.2447755702722603,-1.0999999999999996,-4.6000000000000005
146,Kherson,2,12,7.909999999999999,7.0,-1.2,8.518149466192167,9.8,-0.7,-0.6081494661921676,-2.8000000000000007,-0.5
147,Kherson,3,21,8.5125,9.4,-1.2,9.311969111969105,9.8,-0.3,-0.7994691119691062,-0.40000000000000036,-0.8999999999999999
148,Kiev,1,27,2.825,5.7,-14.1,7.2031914893617,9.8,-0.4,-4.3781914893617,-4.1000000000000005,-13.7
149,Kiev,2,28,6.814285714285715,19.6,-0.8,6.933935018050539,9.4,-0.1,-0.11964930376482386,10.200000000000001,-0.7000000000000001
150,Lvov,11,20,8.09,8.9,-2.6,7.134163701067614,9.9,-0.0,0.9558362989323861,-1.0,-2.6
151,Marseille,5,14,16.275000000000002,8.9,10.3,15.134782608695655,9.9,-2.8,1.140217391304347,-1.0,13.100000000000001
152,Odesa,11,1,8.871428571428572,4.0,0.7,10.330364372469624,9.9,-0.3,-1.4589358010410525,-5.9,1.0
153,Odesa,12,23,10.440000000000001,9.4,1.6,10.56457564575645,9.9,-0.1,-0.1245756457564493,-0.5,1.7000000000000002
154,Paris,2,9,12.285714285714286,6.9,10.8,10.54850746268656,9.8,-0.2,1.7372068230277264,-2.9000000000000004,11.0
155,Paris,3,4,12.728571428571428,8.3,10.7,9.570758122743685,9.9,-0.1,3.1578133058277427,-1.5999999999999996,10.799999999999999
156,Paris,3,22,11.760000000000002,9.5,0.2,9.570758122743685,9.9,-0.1,2.1892418772563165,-0.40000000000000036,0.30000000000000004
157,Paris,4,14,7.342857142857143,18.6,-0.9,10.618631178707217,9.8,-0.9,-3.2757740358500733,8.8,0.0
158,Paris,10,26,6.933333333333334,5.0,-2.8,10.187450980392152,9.9,-0.1,-3.254117647058818,-4.9,-2.6999999999999997
159,Stockholm,1,29,6.372727272727274,9.0,-0.5,6.1270992366412225,9.9,-0.0,0.24562803608605144,-0.9000000000000004,-0.5
160,Stockholm,7,5,2.433333333333333,4.6,-0.7,6.282101167315175,9.5,-0.1,-3.848767833981842,-4.9,-0.6
161,Tokyo,1,1,9.559999999999999,5.2,0.7,13.663742690058477,9.9,-0.3,-4.103742690058478,-4.7,1.0
162,Tokyo,7,17,9.133333333333333,24.7,0.3,12.441463414634141,9.1,-0.0,-3.308130081300808,15.6,0.3
163,Tokyo,10,10,9.15,3.0,0.6,12.615527950310554,9.6,-0.0,-3.4655279503105536,-6.6,0.6
164,Tottori,2,15,8.959999999999999,8.1,10.4,15.951851851851856,8.3,10.0,-6.991851851851857,-0.20000000000000107,0.40000000000000036
165,Tottori,8,4,20.424999999999997,28.0,12.0,14.964606741573032,9.6,1.3,5.460393258426965,18.4,10.7
166,Tottori,11,11,13.825,4.0,12.5,14.88141025641025,9.7,1.8,-1.0564102564102509,-5.699999999999999,10.7
167,Warsaw,7,21,4.557142857142857,9.7,-0.6,7.063138686131386,9.8,-0.2,-2.505995828988529,-0.10000000000000142,-0.39999999999999997
168,Wroclaw,4,1,9.549999999999999,4.4,-1.9,7.410380622837372,9.8,-0.0,2.139619377162627,-5.4,-1.9
169,Auckland,3,13,14.800000000000002,17.6,12.0,15.377439024390247,20.9,10.8,-0.5774390243902445,-3.299999999999997,1.1999999999999993
170,Auckland,7,29,15.02,19.0,12.2,15.315517241379306,20.9,10.7,-0.29551724137930613,-1.8999999999999986,1.5
171,Auckland,10,27,16.0,20.3,11.8,15.475352112676063,21.5,-2.8,0.5246478873239369,-1.1999999999999993,14.600000000000001
172,Brasília,5,6,22.183333333333337,24.0,20.3,20.92705882352942,25.9,-2.8,1.2562745098039159,-1.8999999999999986,23.1
173,Brasília,12,27,20.880000000000003,22.0,19.4,21.121546961325976,25.8,-2.8,-0.2415469613259731,-3.8000000000000007,22.2
174,Cape Town,4,20,13.266666666666666,13.7,12.7,16.27375,21.5,11.0,-3.007083333333334,-7.800000000000001,1.6999999999999993
175,Cape Town,7,18,16.599999999999998,20.2,12.1,16.002666666666666,21.0,10.4,0.5973333333333315,-0.8000000000000007,1.6999999999999993
176,Johannesburg,3,25,14.35,8.2,20.5,15.186746987951812,9.8,-2.8,-0.8367469879518126,-1.6000000000000014,23.3
177,Johannesburg,5,25,12.100000000000001,7.9,16.3,15.110967741935486,9.6,-2.8,-3.0109677419354846,-1.6999999999999993,19.1
178,Kherson,2,11,7.427272727272729,9.2,-1.0,8.518149466192167,9.8,-0.7,-1.0908767389194383,-0.6000000000000014,-0.30000000000000004
179,Kherson,5,12,11.2125,9.8,-5.2,8.737209302325576,9.9,-0.0,2.4752906976744242,-0.09999999999999964,-5.2
180,Kherson,10,19,8.71111111111111,9.9,-4.0,8.739837398373986,9.9,-0.1,-0.028726287262875516,0.0,-3.9
181,Kiev,2,14,6.0,8.0,-0.1,6.933935018050539,9.4,-0.1,-0.9339350180505388,-1.4000000000000004,0.0
182,Kiev,7,8,-1.2888888888888888,2.2,-10.7,6.455284552845526,9.9,-0.0,-7.744173441734414,-7.7,-10.7
183,Kiev,7,13,4.828571428571429,9.2,-2.8,6.455284552845526,9.9,-0.0,-1.6267131242740964,-0.7000000000000011,-2.8
184,Kiev,8,5,10.6,9.0,-6.3,7.458718861209961,9.9,-0.1,3.1412811387900383,-0.9000000000000004,-6.2
185,Lvov,1,6,10.366666666666667,8.7,15.4,7.475502008032128,9.5,-0.2,2.8911646586345388,-0.8000000000000007,15.6
186,Lvov,3,17,8.27142857142857,8.4,-1.5,7.008076923076916,9.9,-0.0,1.2633516483516543,-1.5,-1.5
187,Lvov,5,28,5.2375,6.8,-2.8,6.8081481481481445,9.8,-0.0,-1.5706481481481447,-3.000000000000001,-2.8
188,Marseille,4,25,15.35625,9.8,10.0,14.900401606425707,9.9,-2.8,0.45584839357429274,-0.09999999999999964,12.8
189,Marseille,9,24,13.35,9.4,10.3,14.60428015564203,9.9,-2.8,-1.2542801556420304,-0.5,13.100000000000001
190,Odesa,2,28,9.133333333333333,3.4,-2.2,10.500000000000002,9.9,-0.3,-1.366666666666669,-6.5,-1.9000000000000001
191,Odesa,6,25,11.6375,9.5,-2.8,10.268551236749119,9.8,-0.2,1.3689487632508808,-0.3000000000000007,-2.5999999999999996
192,Odesa,8,18,15.292307692307691,9.0,11.8,9.957251908396948,9.6,-0.0,5.335055783910743,-0.5999999999999996,11.8
193,Odesa,11,17,11.924999999999999,7.1,-0.9,10.330364372469624,9.9,-0.3,1.5946356275303746,-2.8000000000000007,-0.6000000000000001
194,Paris,9,24,11.007142857142858,6.4,-2.8,10.034732824427476,9.9,-0.8,0.9724100327153824,-3.5,-1.9999999999999998
195,Stockholm,5,31,6.3,9.1,-4.7,6.164459930313588,9.7,-0.1,0.13554006968641197,-0.5999999999999996,-4.6000000000000005
196,Tokyo,12,19,5.233333333333333,3.7,0.0,12.445664739884393,9.9,-0.2,-7.212331406551059,-6.2,0.2
197,Tottori,4,20,5.599999999999999,7.3,3.4,14.348235294117636,9.8,1.3,-8.748235294117638,-2.500000000000001,2.0999999999999996
198,Tottori,4,21,11.942857142857141,5.5,16.6,14.348235294117636,9.8,1.3,-2.4053781512604946,-4.300000000000001,15.3
199,Tottori,7,30,12.1,5.2,10.9,14.34,9.2,-2.8,-2.24,-3.999999999999999,13.7
200,Tottori,10,14,24.599999999999998,28.9,17.5,15.403205128205135,9.6,1.9,9.196794871794863,19.299999999999997,15.6
201,Tottori,11,28,23.666666666666668,25.5,21.2,14.88141025641025,9.7,1.8,8.785256410256418,15.8,19.4
202,Uppsala,1,6,1.3375,2.5,-0.9,3.3141843971631215,9.9,-0.0,-1.9766843971631216,-7.4,-0.9
203,Uppsala,1,31,3.566666666666667,5.1,-1.1,3.3141843971631215,9.9,-0.0,0.25248226950354535,-4.800000000000001,-1.1
204,Warsaw,2,26,4.3,19.9,-1.6,7.466798418972326,9.6,-0.3,-3.166798418972326,10.299999999999999,-1.3
205,Warsaw,7,11,7.516666666666667,9.0,-0.9,7.063138686131386,9.8,-0.2,0.45352798053528076,-0.8000000000000007,-0.7
206,Warsaw,9,10,0.40000000000000036,3.7,-2.8,7.808750000000005,9.8,-0.0,-7.408750000000005,-6.1000000000000005,-2.8
207,Warsaw,10,11,7.2,7.8,-2.8,7.921428571428572,9.7,-0.2,-0.7214285714285715,-1.8999999999999995,-2.5999999999999996
