,City,month,mean,max,min
176,Johannesburg,8,14.980291970802922,9.8,10.1
177,Kherson,6,7.87032520325203,9.9,-0.1
178,Paris,6,9.34661654135338,9.8,-0.4
179,Hamilton,12,14.20736842105263,9.9,10.0
180,Lvov,12,6.743884892086331,9.9,-0.0
181,Paris,7,9.645054945054943,9.8,-0.1
182,Uppsala,5,5.138188976377949,9.8,-0.2
183,Canoas,3,16.897765363128492,24.9,-2.8
184,Tottori,4,14.348235294117636,9.8,1.3
185,Cape Town,9,15.855862068965516,22.1,-2.8
186,Tokyo,11,13.045138888888893,9.6,-0.6
187,Tottori,1,14.012571428571427,9.9,1.5
188,Warsaw,4,7.064478764478761,9.7,-0.0
189,Wroclaw,11,6.827509293680292,9.8,-0.0
190,Stockholm,3,6.1192857142857155,9.7,-0.1
191,Wroclaw,12,7.116776315789475,9.8,-0.0
192,Kherson,5,8.737209302325576,9.9,-0.0
193,Stockholm,10,5.822426470588242,9.9,-0.0
194,Johannesburg,7,14.70961538461538,9.8,-2.8
195,Uppsala,1,3.3141843971631215,9.9,-0.0
196,Warsaw,1,6.611578947368425,9.9,-0.1
197,Kherson,2,8.518149466192167,9.8,-0.7
198,Marseille,2,14.727819548872189,9.9,-2.8
199,Marseille,3,15.234982332155484,9.9,-2.8
200,Odesa,7,9.174087591240879,9.9,-0.1
201,Marseille,7,15.225783972125436,9.9,-2.8
202,Brasília,6,20.259428571428572,24.8,-2.8
203,Cape Town,4,16.27375,21.5,11.0
204,Lvov,2,6.717307692307695,9.9,-0.3
205,Tottori,8,14.964606741573032,9.6,1.3
206,Kherson,4,8.79283018867924,9.9,-0.0
207,Stockholm,2,6.47913385826772,9.5,-0.1
208,Stockholm,12,6.302996254681646,9.6,-0.1
209,Warsaw,11,6.951282051282052,9.8,-0.1
210,Canoas,12,17.875916230366492,25.6,-2.8
211,Brasília,8,20.877005347593588,24.6,-2.8
212,Odesa,6,10.268551236749119,9.8,-0.2
213,Paris,5,10.252674897119338,9.8,-0.0
214,Canoas,4,17.463793103448282,24.8,-2.8
215,Hamilton,3,13.682500000000005,9.9,10.1
